Passenger 1 ID,Passenger 2 ID,Number of Flights Together
8042,8078,5
8920,9000,5
12298,13941,5
3913,3974,5
4552,8775,5
8336,8384,5
758,3455,5
5240,11871,5
6993,13636,5
5769,6008,5
4481,5964,5
6878,6889,5
3120,3544,5
6829,6898,5
6001,6814,5
4607,6469,5
1246,4769,5
239,1531,5
5533,10350,5
6052,8093,5
578,588,5
2026,3634,5
2026,3643,5
119,2446,5
5746,5768,5
792,793,5
791,793,5
1035,1044,5
1026,1095,5
781,1021,5
743,761,5
5451,5496,5
2221,7463,5
5072,10525,5
1533,3968,5
2518,9791,5
4921,4953,5
4340,4359,5
517,798,5
10483,10485,5
8557,8895,5
3249,8197,5
9330,9373,5
4274,4291,5
47,7910,5
2105,2183,5
1942,1961,5
1940,1994,5
4417,4451,5
5119,5152,5
10117,10162,5
4895,7653,5
218,272,5
2105,3476,5
467,4178,5
1769,13571,5
1769,7060,5
2857,11572,5
7444,8521,5
6929,10382,5
4171,5191,5
399,752,5
2556,4278,5
5972,5991,5
5383,5572,5
5927,5997,5
5905,5991,5
5910,5951,5
859,10130,5
435,9600,5
8994,9091,5
1267,4613,5
12844,12883,5
10346,10394,5
10315,10384,5
1389,10371,5
1254,3090,5
2959,4052,5
1482,4080,5
2789,5466,5
5426,5463,5
1337,4364,5
2323,4502,5
8406,11948,5
3259,4315,5
4977,4998,5
1884,4614,5
1476,2710,5
5652,9693,5
613,3850,5
3405,13251,5
2778,10802,5
4827,9369,5
7881,10097,5
12526,12569,5
1927,5459,5
4497,5442,5
1219,1258,5
6694,6831,5
1164,8004,5
2596,4988,5
1419,9994,5
300,4329,5
3844,4270,5
2718,6013,5
3503,7685,5
95,3278,5
6745,8158,5
901,7039,5
392,3187,5
2231,3002,5
2967,9014,5
525,8735,5
912,920,5
1313,3578,5
2334,3679,5
2273,3681,5
130,977,5
130,2458,5
2405,3679,5
1675,6529,5
10788,10799,5
10684,11513,5
2531,2563,5
211,3169,5
255,681,5
1569,1587,5
3741,9410,5
