passengerId1,passengerId2,numberOfFlightsTogether
232,248,4
429,438,4
512,568,4
628,679,4
770,800,4
876,891,4
847,897,4
1032,1056,4
1146,1173,4
1252,1274,4
1303,1393,4
1365,1396,4
1414,1443,4
702,777,4
807,896,4
331,1300,4
382,727,4
309,749,4
362,752,4
1827,1877,4
1855,1897,4
1916,1960,4
1969,1993,4
1933,1956,4
1975,1976,4
2114,2134,4
2114,2163,4
2277,2298,4
2249,2263,4
2413,2460,4
2410,2464,4
2441,2484,4
2426,2463,4
2924,2996,4
2937,2966,4
492,1245,4
3201,3287,4
3443,3445,4
3411,3475,4
1247,2674,4
2168,3128,4
772,3483,4
3831,3839,4
4068,4082,4
4002,4025,4
4009,4035,4
4016,4045,4
218,3151,4
679,3193,4
1808,2781,4
2586,3123,4
205,2563,4
299,1645,4
684,2521,4
490,2586,4
274,2560,4
184,2886,4
4249,4297,4
4230,4282,4
4241,4270,4
456,3039,4
4358,4386,4
1367,2959,4
1269,2570,4
2600,3924,4
4427,4497,4
2001,3662,4
2437,3681,4
2597,3107,4
3858,4556,4
4621,4691,4
1248,1482,4
1611,2879,4
437,1323,4
165,2440,4
2457,3653,4
1427,4700,4
4880,4883,4
5054,5084,4
2460,3520,4
2441,2965,4
988,1358,4
2400,2942,4
3702,5119,4
5483,5491,4
5435,5478,4
5401,5463,4
5401,5494,4
5412,5451,4
5438,5490,4
5419,5478,4
3184,4178,4
3329,5126,4
5667,5699,4
1482,5496,4
4059,5410,4
3716,4319,4
1984,5156,4
4219,5333,4
229,4245,4
4223,5026,4
4245,4522,4
5746,5757,4
5709,5720,4
5706,5779,4
5817,5881,4
3581,4408,4
2068,3415,4
2068,2635,4
1528,2565,4
2111,3250,4
4391,5885,4
1938,3106,4
142,614,4
3937,4069,4
1046,3963,4
3404,4988,4
3572,5450,4
1444,4646,4
1548,4609,4
1572,6027,4
4632,5455,4
2403,4647,4
4647,4914,4
1538,2848,4
5025,5455,4
3670,4646,4
7075,7096,4
3266,4546,4
7424,7454,4
798,2035,4
3512,4294,4
7770,7785,4
935,5795,4
7995,7997,4
5755,6823,4
7798,8328,4
7741,8375,4
3153,4152,4
8525,8553,4
1158,2272,4
2692,5100,4
439,1955,4
782,6530,4
888,2162,4
3385,4034,4
324,6827,4
6408,6854,4
2734,6047,4
2734,5481,4
950,6829,4
6001,6872,4
5440,6853,4
5440,6829,4
5966,6839,4
3544,6880,4
6008,6839,4
6017,6836,4
184,6853,4
6469,6889,4
6049,6870,4
6049,6827,4
1865,5706,4
5734,6885,4
5771,6893,4
2759,6885,4
910,4435,4
4221,7410,4
22,7430,4
5997,7192,4
6950,7442,4
3896,4932,4
1230,7629,4
8904,8935,4
7110,7433,4
8110,8684,4
9006,9097,4
9096,9098,4
9136,9177,4
2534,8596,4
3547,8593,4
3052,7549,4
5095,5222,4
870,3330,4
3503,6750,4
1940,8353,4
1646,6703,4
6372,9077,4
5549,5777,4
1613,4700,4
5755,7558,4
7810,8288,4
468,6930,4
9568,9586,4
6089,8048,4
572,815,4
1824,4795,4
2443,9258,4
2443,9267,4
3511,9283,4
4389,9394,4
2586,8509,4
3020,7134,4
6441,7243,4
6418,6813,4
5383,9642,4
6776,9649,4
1089,5383,4
4541,9753,4
9704,9999,4
7879,8979,4
2063,7319,4
1201,2080,4
4978,9063,4
1045,9755,4
6896,7996,4
2201,3249,4
3536,6878,4
7996,8427,4
10310,10316,4
4293,9539,4
1994,9574,4
6769,10145,4
7526,9362,4
10415,10482,4
10456,10482,4
10452,10453,4
10465,10488,4
3147,9409,4
10515,10564,4
6588,7122,4
3528,8397,4
2967,3754,4
10731,10772,4
10714,10771,4
10741,10796,4
10770,10776,4
10744,10751,4
10712,10764,4
10705,10791,4
10780,10798,4
10809,10827,4
10987,10988,4
11118,11153,4
11111,11139,4
11103,11165,4
11142,11191,4
11142,11151,4
11115,11199,4
11122,11128,4
11121,11142,4
11120,11150,4
11153,11200,4
11114,11150,4
11136,11188,4
11156,11164,4
11216,11221,4
5957,6777,4
8260,10770,4
4056,8735,4
2856,11137,4
3817,11194,4
6529,9977,4
5459,8445,4
6013,10975,4
7737,8149,4
11703,11734,4
2076,7014,4
6338,8351,4
8256,9906,4
5769,9773,4
2976,7682,4
5882,7002,4
4397,7319,4
736,6522,4
1138,1296,4
8266,8912,4
