Passenger 1 ID,Passenger 2 ID,Number of Flights Together
8956,8979,6
2231,8262,6
1539,10229,6
12841,13731,6
2130,2181,6
1182,4072,6
1033,3615,6
6824,6884,6
5443,6047,6
7801,8040,6
5571,7532,6
5426,6088,6
755,762,6
1314,4353,6
2378,10989,6
2236,2293,6
4212,4295,6
13644,13669,6
1310,1322,6
2143,2401,6
9505,9516,6
3402,3414,6
1774,7543,6
6089,10371,6
1208,5989,6
4813,4880,6
3567,3569,6
1966,10203,6
10352,10371,6
4711,10908,6
3517,3525,6
5026,5076,6
53,5310,6
9418,9498,6
3963,3991,6
2544,3991,6
446,4674,6
2906,7872,6
1608,5934,6
1860,10015,6
1860,8684,6
1747,9127,6
9127,10089,6
1911,9544,6
4453,4496,6
3589,10806,6
4646,4647,6
2926,8190,6
382,4202,6
1849,5503,6
1342,7539,6
11808,11868,6
12600,13781,6
293,684,6
9097,11073,6
10778,11876,6
8326,8384,6
727,3415,6
2174,3693,6
4942,5494,6
4942,6049,6
5494,6049,6
2734,2759,6
6180,8257,6
2939,5766,6
10701,11296,6
709,733,6
2668,3988,6
3223,9271,6
7068,11450,6
905,1351,6
928,1482,6
7060,9994,6
7555,7721,6
8446,13564,6
2964,5101,6
1766,4344,6
2054,6471,6
1493,8471,6
694,8045,6
10203,11883,6
2208,8907,6
8353,10719,6
6365,12910,6
2117,4217,6
3223,3367,6
9282,10576,6
5416,5443,6
4716,7616,6
271,3149,6
4689,5209,6
210,2532,6
1860,9359,6
6317,7950,6
8526,8552,6
1678,8165,6
3002,8260,6
61,2012,6
8945,8979,6
1482,8529,6
2110,2173,6
5789,8353,6
1064,1753,6
3576,6853,6
5819,8461,6
1023,1026,6
706,762,6
6394,12173,6
811,3644,6
2212,2284,6
3021,8257,6
7306,7384,6
2906,8353,6
9063,9441,6
2769,2972,6
1337,2783,6
13119,13178,6
247,2175,6
1142,3315,6
1637,8326,6
4329,10446,6
5978,5982,6
9362,9363,6
2960,6447,6
614,2117,6
10220,10265,6
167,9376,6
9300,10181,6
1538,1572,6
2295,3679,6
625,5789,6
901,8209,6
7820,8190,6
1762,3851,6
11272,11276,6
497,4451,6
1313,1358,6
2841,3064,6
3187,8729,6
497,8262,6
6015,6089,6
331,440,6
774,795,6
721,749,6
6869,6889,6
4674,6069,6
2773,6016,6
5490,6418,6
247,2527,6
8411,8461,6
5746,5779,6
5792,5793,6
760,766,6
2258,2274,6
2246,2299,6
2123,7551,6
3921,8024,6
2183,2199,6
407,1314,6
247,2197,6
2112,4957,6
628,7902,6
870,7834,6
479,6529,6
855,10267,6
4042,4353,6
5429,5471,6
5440,5468,6
4388,5490,6
582,7837,6
371,400,6
2625,7605,6
3590,5584,6
147,2323,6
13839,13846,6
8882,13119,6
568,592,6
2437,2441,6
2410,2447,6
620,11296,6
6013,9752,6
2776,3278,6
2776,3330,6
5330,9645,6
10766,10780,6
9757,9777,6
11767,12057,6
8904,8920,6
1276,4235,6
7896,9466,6
10458,10480,6
222,8030,6
3930,6879,6
6813,7039,6
6825,6874,6
5494,6077,6
4373,5761,6
5443,6069,6
3300,3356,6
1569,5787,6
5793,5800,6
366,772,6
2792,4630,6
595,4556,6
2248,2285,6
3021,9271,6
7627,9738,6
945,979,6
5518,7162,6
1417,1500,6
3471,3475,6
2926,5253,6
2548,12323,6
1591,9994,6
6471,7191,6
2358,7777,6
479,10576,6
5443,5484,6
5490,5494,6
7082,7605,6
4917,9127,6
5748,9127,6
4675,5116,6
4675,4737,6
12746,12764,6
1678,9063,6
4346,5434,6
9738,10454,6
9601,9660,6
484,2090,6
1818,1822,6
2024,3002,6
191,4774,6
10726,10762,6
3286,5668,6
5546,7243,6
2111,2165,6
1329,3503,6
1829,10767,6
419,670,6
6064,6809,6
184,2993,6
6817,6825,6
5734,5954,6
2773,6896,6
2773,6049,6
