Passenger 1 ID,Passenger 2 ID,Number of Flights Together,From,To
5416,5443,6,2017-02-17,2017-03-13
5440,5468,6,2017-02-17,2017-03-13
5443,5484,6,2017-02-17,2017-03-13
5490,5494,6,2017-02-17,2017-03-13
5456,5498,6,2017-02-17,2017-03-13
5440,5478,6,2017-02-17,2017-03-13
5443,5490,6,2017-02-17,2017-03-13
5468,5491,6,2017-02-17,2017-03-13
5490,5491,6,2017-02-17,2017-03-13
5468,5494,6,2017-02-17,2017-03-13
5478,5491,6,2017-02-17,2017-03-13
5416,5500,6,2017-02-17,2017-03-13
5440,5484,6,2017-02-17,2017-03-13
5423,5468,6,2017-02-17,2017-03-13
5468,5478,6,2017-02-17,2017-03-13
5416,5464,6,2017-02-17,2017-03-13
5440,5456,6,2017-02-17,2017-03-13
5423,5456,6,2017-02-17,2017-03-13
5490,5500,6,2017-02-17,2017-03-13
5491,5498,6,2017-02-17,2017-03-13
5443,5486,6,2017-02-17,2017-03-13
5416,5481,6,2017-02-17,2017-03-13
5456,5491,6,2017-02-17,2017-03-13
5423,5500,6,2017-02-17,2017-03-13
5410,5467,6,2017-02-17,2017-03-13
5456,5481,6,2017-02-17,2017-03-13
5498,5500,6,2017-02-17,2017-03-13
5416,5498,6,2017-02-17,2017-03-13
5464,5490,6,2017-02-17,2017-03-13
5410,5420,6,2017-02-17,2017-03-13
5440,5498,6,2017-02-17,2017-03-13
5456,5486,6,2017-02-17,2017-03-13
5416,5440,6,2017-02-17,2017-03-13
5478,5494,6,2017-02-17,2017-03-13
5423,5491,6,2017-02-17,2017-03-13
5484,5491,6,2017-02-17,2017-03-13
5443,5464,6,2017-02-17,2017-03-13
5440,5486,6,2017-02-17,2017-03-13
5481,5486,6,2017-02-17,2017-03-13
5494,5498,6,2017-02-17,2017-03-13
5416,5478,6,2017-02-17,2017-03-13
5423,5440,6,2017-02-17,2017-03-13
5484,5486,6,2017-02-17,2017-03-13
5484,5498,6,2017-02-17,2017-03-13
5416,5423,6,2017-02-17,2017-03-13
5443,5468,6,2017-02-17,2017-03-13
5478,5490,6,2017-02-17,2017-03-13
5486,5491,6,2017-02-17,2017-03-13
5464,5484,6,2017-02-17,2017-03-13
5416,5491,6,2017-02-17,2017-03-13
5440,5464,6,2017-02-17,2017-03-13
5456,5478,6,2017-02-17,2017-03-13
5468,5481,6,2017-02-17,2017-03-13
5464,5491,6,2017-02-17,2017-03-13
5443,5498,6,2017-02-17,2017-03-13
5484,5500,6,2017-02-17,2017-03-13
5423,5443,6,2017-02-17,2017-03-13
5423,5494,6,2017-02-17,2017-03-13
5486,5500,6,2017-02-17,2017-03-13
5456,5464,6,2017-02-17,2017-03-13
5478,5484,6,2017-02-17,2017-03-13
5478,5500,6,2017-02-17,2017-03-13
5416,5486,6,2017-02-17,2017-03-13
5481,5484,6,2017-02-17,2017-03-13
5478,5481,6,2017-02-17,2017-03-13
5481,5490,6,2017-02-17,2017-03-13
5484,5494,6,2017-02-17,2017-03-13
5456,5494,6,2017-02-17,2017-03-13
5468,5498,6,2017-02-17,2017-03-13
5456,5500,6,2017-02-17,2017-03-13
5423,5481,6,2017-02-17,2017-03-13
5416,5494,6,2017-02-17,2017-03-13
5468,5486,6,2017-02-17,2017-03-13
5440,5490,6,2017-02-17,2017-03-13
5481,5498,6,2017-02-17,2017-03-13
5486,5494,6,2017-02-17,2017-03-13
5490,5498,6,2017-02-17,2017-03-13
5423,5484,6,2017-02-17,2017-03-13
5468,5500,6,2017-02-17,2017-03-13
5464,5500,6,2017-02-17,2017-03-13
5486,5490,6,2017-02-17,2017-03-13
5464,5481,6,2017-02-17,2017-03-13
5464,5468,6,2017-02-17,2017-03-13
5443,5456,6,2017-02-17,2017-03-13
5443,5478,6,2017-02-17,2017-03-13
5464,5494,6,2017-02-17,2017-03-13
5429,5471,6,2017-02-17,2017-03-14
5419,5436,6,2017-02-17,2017-03-14
5439,5471,6,2017-02-17,2017-03-14
5401,5471,6,2017-02-17,2017-03-14
5438,5499,6,2017-02-17,2017-03-14
5439,5448,6,2017-02-17,2017-03-14
5429,5438,6,2017-02-17,2017-03-14
5431,5436,6,2017-02-17,2017-03-14
5458,5495,6,2017-02-17,2017-03-14
5401,5432,6,2017-02-17,2017-03-14
5426,5438,6,2017-02-17,2017-03-14
5421,5432,6,2017-02-17,2017-03-14
5419,5458,6,2017-02-17,2017-03-14
