Passenger 1 ID,Passenger 2 ID,Number of Flights Together,From,To
4973,5634,5,2017-11-26,2017-12-25
4973,6733,5,2017-11-26,2017-12-25
4973,5101,5,2017-11-26,2017-12-25
4973,13296,5,2017-11-26,2017-12-25
4973,7661,5,2017-11-26,2017-12-25
4973,13249,5,2017-11-26,2017-12-25
4973,5111,5,2017-11-26,2017-12-25
42,4973,5,2017-11-26,2017-12-25
1454,9532,4,2017-11-26,2017-12-28
2092,10248,4,2017-11-26,2017-12-29
6900,11767,4,2017-11-26,2017-12-29
5081,8091,4,2017-11-26,2017-12-29
5081,6900,4,2017-11-26,2017-12-29
6900,8091,4,2017-11-26,2017-12-29
6307,14094,4,2017-11-26,2017-12-29
183,10248,7,2017-11-26,2017-12-29
8556,10248,4,2017-11-26,2017-12-29
8091,14094,4,2017-11-26,2017-12-29
183,2092,4,2017-11-26,2017-12-29
6307,11767,4,2017-11-26,2017-12-29
2092,13163,6,2017-11-26,2017-12-29
2350,8556,6,2017-11-26,2017-12-29
2350,13163,6,2017-11-26,2017-12-29
10248,13163,4,2017-11-26,2017-12-29
11767,14094,4,2017-11-26,2017-12-29
2092,2350,6,2017-11-26,2017-12-29
5081,14094,4,2017-11-26,2017-12-29
6307,8091,4,2017-11-26,2017-12-29
6900,14094,4,2017-11-26,2017-12-29
183,2350,4,2017-11-26,2017-12-29
5081,11767,4,2017-11-26,2017-12-29
6307,6900,4,2017-11-26,2017-12-29
2350,10248,4,2017-11-26,2017-12-29
2092,8556,6,2017-11-26,2017-12-29
1774,14082,4,2017-11-26,2017-12-31
5560,14069,4,2017-11-26,2017-12-31
1774,5513,4,2017-11-26,2017-12-31
1774,14087,4,2017-11-26,2017-12-31
11213,14069,4,2017-11-26,2017-12-31
11213,14082,4,2017-11-26,2017-12-31
5560,14087,4,2017-11-26,2017-12-31
11213,14087,4,2017-11-26,2017-12-31
1774,11213,4,2017-11-26,2017-12-31
2966,14069,4,2017-11-26,2017-12-31
2548,8763,7,2017-11-26,2017-12-31
2966,14082,4,2017-11-26,2017-12-31
