Passenger 1 ID,Passenger 2 ID,Number of Flights Together,From,To
2761,3484,4,2017-11-29,2017-12-29
1,3484,4,2017-11-29,2017-12-29
6399,9082,4,2017-11-29,2017-12-29
2005,3484,4,2017-11-29,2017-12-29
1,9039,4,2017-11-29,2017-12-29
1694,6399,4,2017-11-29,2017-12-29
2761,9082,4,2017-11-29,2017-12-29
3638,6399,4,2017-11-29,2017-12-29
8215,12981,5,2017-11-29,2017-12-29
704,2388,4,2017-11-29,2017-12-29
2485,13194,6,2017-11-29,2017-12-29
1,9082,4,2017-11-29,2017-12-29
2658,3638,4,2017-11-29,2017-12-29
2761,9039,4,2017-11-29,2017-12-29
704,3048,4,2017-11-29,2017-12-29
2658,2814,4,2017-11-29,2017-12-29
6399,9039,4,2017-11-29,2017-12-29
3484,9082,4,2017-11-29,2017-12-29
1694,9039,4,2017-11-29,2017-12-29
1694,9082,4,2017-11-29,2017-12-29
2814,6399,4,2017-11-29,2017-12-29
2005,6399,4,2017-11-29,2017-12-29
1,2761,4,2017-11-29,2017-12-29
2658,9082,4,2017-11-29,2017-12-29
4118,8215,5,2017-11-29,2017-12-29
2388,4301,4,2017-11-29,2017-12-29
2005,9039,4,2017-11-29,2017-12-29
704,4301,4,2017-11-29,2017-12-29
1694,3484,4,2017-11-29,2017-12-29
120,2761,4,2017-11-29,2017-12-29
120,3638,4,2017-11-29,2017-12-29
120,9039,4,2017-11-29,2017-12-29
1,1694,4,2017-11-29,2017-12-29
120,2658,4,2017-11-29,2017-12-29
120,3484,4,2017-11-29,2017-12-29
120,1694,4,2017-11-29,2017-12-29
2485,4899,6,2017-11-29,2017-12-29
120,2005,4,2017-11-29,2017-12-29
2814,9082,4,2017-11-29,2017-12-29
2658,6399,4,2017-11-29,2017-12-29
120,9082,4,2017-11-29,2017-12-29
2005,9082,4,2017-11-29,2017-12-29
2761,3638,4,2017-11-29,2017-12-29
1694,2761,4,2017-11-29,2017-12-29
2005,2814,4,2017-11-29,2017-12-29
1,120,4,2017-11-29,2017-12-29
3484,6399,4,2017-11-29,2017-12-29
2761,6399,4,2017-11-29,2017-12-29
2658,2761,4,2017-11-29,2017-12-29
120,2814,4,2017-11-29,2017-12-29
1,2658,4,2017-11-29,2017-12-29
1,6399,4,2017-11-29,2017-12-29
1,3638,4,2017-11-29,2017-12-29
1,2005,4,2017-11-29,2017-12-29
1694,2658,4,2017-11-29,2017-12-29
2005,3638,4,2017-11-29,2017-12-29
120,6399,4,2017-11-29,2017-12-29
2005,2761,4,2017-11-29,2017-12-29
2761,2814,4,2017-11-29,2017-12-29
1723,4118,5,2017-11-29,2017-12-29
1,2814,4,2017-11-29,2017-12-29
2658,9039,4,2017-11-29,2017-12-29
2388,3048,4,2017-11-29,2017-12-29
1694,2005,4,2017-11-29,2017-12-29
1694,3638,4,2017-11-29,2017-12-29
1723,8215,5,2017-11-29,2017-12-29
1723,12981,5,2017-11-29,2017-12-29
2814,9039,4,2017-11-29,2017-12-29
2814,3484,4,2017-11-29,2017-12-29
3484,3638,4,2017-11-29,2017-12-29
2658,3484,4,2017-11-29,2017-12-29
1694,2814,4,2017-11-29,2017-12-29
3048,4301,4,2017-11-29,2017-12-29
2814,3638,4,2017-11-29,2017-12-29
3484,9039,4,2017-11-29,2017-12-29
3638,9082,4,2017-11-29,2017-12-29
2005,2658,4,2017-11-29,2017-12-29
13232,13620,6,2017-11-29,2017-12-31
12862,14070,4,2017-12-01,2017-12-16
5919,6056,4,2017-12-01,2017-12-16
10784,14095,4,2017-12-01,2017-12-16
6027,14095,4,2017-12-01,2017-12-16
7094,12301,4,2017-12-01,2017-12-16
12862,14071,4,2017-12-01,2017-12-16
12908,14095,4,2017-12-01,2017-12-16
3451,11282,4,2017-12-01,2017-12-16
12301,14071,4,2017-12-01,2017-12-16
12144,14070,4,2017-12-01,2017-12-16
12862,14095,4,2017-12-01,2017-12-16
6261,10784,4,2017-12-01,2017-12-16
3451,14059,4,2017-12-01,2017-12-16
7094,14059,4,2017-12-01,2017-12-16
1992,14093,4,2017-12-01,2017-12-16
9688,14059,4,2017-12-01,2017-12-16
1992,10784,4,2017-12-01,2017-12-16
7094,12144,4,2017-12-01,2017-12-16
1460,6027,4,2017-12-01,2017-12-16
9688,12908,4,2017-12-01,2017-12-16
9688,14093,4,2017-12-01,2017-12-16
512,8751,4,2017-12-01,2017-12-16
9688,10784,4,2017-12-01,2017-12-16
9157,12908,4,2017-12-01,2017-12-16
1460,6261,4,2017-12-01,2017-12-16
6261,14093,4,2017-12-01,2017-12-16
12144,14093,4,2017-12-01,2017-12-16
363,6056,4,2017-12-01,2017-12-16
9157,12301,4,2017-12-01,2017-12-16
5136,6056,4,2017-12-01,2017-12-16
1460,14093,4,2017-12-01,2017-12-16
1992,14070,4,2017-12-01,2017-12-16
7094,11282,4,2017-12-01,2017-12-16
512,5919,4,2017-12-01,2017-12-16
1992,9688,4,2017-12-01,2017-12-16
7094,14093,4,2017-12-01,2017-12-16
6261,7094,4,2017-12-01,2017-12-16
512,4611,4,2017-12-01,2017-12-16
6261,12163,4,2017-12-01,2017-12-16
7094,12862,4,2017-12-01,2017-12-16
10784,14070,4,2017-12-01,2017-12-16
11282,14071,4,2017-12-01,2017-12-16
7094,14071,4,2017-12-01,2017-12-16
6261,12862,4,2017-12-01,2017-12-16
3451,14095,4,2017-12-01,2017-12-16
6261,14070,4,2017-12-01,2017-12-16
12301,14095,4,2017-12-01,2017-12-16
6027,12144,4,2017-12-01,2017-12-16
6027,9688,4,2017-12-01,2017-12-16
6027,10784,4,2017-12-01,2017-12-16
9157,14095,4,2017-12-01,2017-12-16
6027,12908,4,2017-12-01,2017-12-16
12144,12908,4,2017-12-01,2017-12-16
3451,9688,4,2017-12-01,2017-12-16
7094,12163,4,2017-12-01,2017-12-16
9688,12862,4,2017-12-01,2017-12-16
12908,14071,4,2017-12-01,2017-12-16
6027,7094,4,2017-12-01,2017-12-16
12908,14093,4,2017-12-01,2017-12-16
1460,3451,4,2017-12-01,2017-12-16
6056,8751,4,2017-12-01,2017-12-16
363,512,4,2017-12-01,2017-12-16
6027,12862,4,2017-12-01,2017-12-16
3451,14070,4,2017-12-01,2017-12-16
1460,7094,4,2017-12-01,2017-12-16
1460,9688,4,2017-12-01,2017-12-16
1992,14059,4,2017-12-01,2017-12-16
4611,6056,4,2017-12-01,2017-12-16
6261,9157,4,2017-12-01,2017-12-16
6027,12163,4,2017-12-01,2017-12-16
6027,9157,4,2017-12-01,2017-12-16
1992,12908,4,2017-12-01,2017-12-16
1460,14070,4,2017-12-01,2017-12-16
9688,14095,4,2017-12-01,2017-12-16
6027,14059,4,2017-12-01,2017-12-16
9157,14093,4,2017-12-01,2017-12-16
3451,12908,4,2017-12-01,2017-12-16
3451,14093,4,2017-12-01,2017-12-16
1992,9157,4,2017-12-01,2017-12-16
11282,14095,4,2017-12-01,2017-12-16
12862,12908,4,2017-12-01,2017-12-16
12908,14070,4,2017-12-01,2017-12-16
3451,9157,4,2017-12-01,2017-12-16
6027,11282,4,2017-12-01,2017-12-16
12301,12908,4,2017-12-01,2017-12-16
9157,14070,4,2017-12-01,2017-12-16
1460,12301,4,2017-12-01,2017-12-16
3451,7094,4,2017-12-01,2017-12-16
6027,14093,4,2017-12-01,2017-12-16
10784,14071,4,2017-12-01,2017-12-16
11282,12301,4,2017-12-01,2017-12-16
12144,12301,4,2017-12-01,2017-12-16
1992,11282,4,2017-12-01,2017-12-16
9688,14070,4,2017-12-01,2017-12-16
7094,12908,4,2017-12-01,2017-12-16
512,5136,4,2017-12-01,2017-12-16
6261,12144,4,2017-12-01,2017-12-16
3451,12163,4,2017-12-01,2017-12-16
12301,14093,4,2017-12-01,2017-12-16
1460,1992,4,2017-12-01,2017-12-16
9688,14071,4,2017-12-01,2017-12-16
9688,11282,4,2017-12-01,2017-12-16
11282,14070,4,2017-12-01,2017-12-16
6027,14071,4,2017-12-01,2017-12-16
9688,12163,4,2017-12-01,2017-12-16
7094,10784,4,2017-12-01,2017-12-16
6261,12908,4,2017-12-01,2017-12-16
9157,9688,4,2017-12-01,2017-12-16
12144,14071,4,2017-12-01,2017-12-16
7094,14070,4,2017-12-01,2017-12-16
10784,12301,4,2017-12-01,2017-12-16
12301,14070,4,2017-12-01,2017-12-16
1992,12862,4,2017-12-01,2017-12-16
6261,9688,4,2017-12-01,2017-12-16
12163,14095,4,2017-12-01,2017-12-16
3451,12862,4,2017-12-01,2017-12-16
12301,12862,4,2017-12-01,2017-12-16
12862,14093,4,2017-12-01,2017-12-16
1992,7094,4,2017-12-01,2017-12-16
12163,14093,4,2017-12-01,2017-12-16
6261,14059,4,2017-12-01,2017-12-16
1460,14071,4,2017-12-01,2017-12-16
12144,14095,4,2017-12-01,2017-12-16
12163,14071,4,2017-12-01,2017-12-16
6261,14095,4,2017-12-01,2017-12-16
11282,12908,4,2017-12-01,2017-12-16
6261,14071,4,2017-12-01,2017-12-16
12301,14059,4,2017-12-01,2017-12-16
1460,14095,4,2017-12-01,2017-12-16
9157,14071,4,2017-12-01,2017-12-16
10784,12908,4,2017-12-01,2017-12-16
1992,14071,4,2017-12-01,2017-12-16
1992,12144,4,2017-12-01,2017-12-16
6261,11282,4,2017-12-01,2017-12-16
11282,14093,4,2017-12-01,2017-12-16
9688,12301,4,2017-12-01,2017-12-16
12163,12301,4,2017-12-01,2017-12-16
3451,14071,4,2017-12-01,2017-12-16
7094,14095,4,2017-12-01,2017-12-16
1992,12163,4,2017-12-01,2017-12-16
1992,14095,4,2017-12-01,2017-12-16
6027,14070,4,2017-12-01,2017-12-16
10784,14093,4,2017-12-01,2017-12-16
12908,14059,4,2017-12-01,2017-12-16
12163,14070,4,2017-12-01,2017-12-16
3451,12144,4,2017-12-01,2017-12-16
7094,9157,4,2017-12-01,2017-12-16
8746,11957,4,2017-12-01,2017-12-17
11957,12910,4,2017-12-01,2017-12-17
11208,14055,4,2017-12-01,2017-12-17
12891,12910,4,2017-12-01,2017-12-17
2561,12891,4,2017-12-01,2017-12-17
11208,12891,4,2017-12-01,2017-12-17
6365,12891,4,2017-12-01,2017-12-17
11208,11957,4,2017-12-01,2017-12-17
12910,14055,4,2017-12-01,2017-12-17
2561,14055,4,2017-12-01,2017-12-17
6365,14055,4,2017-12-01,2017-12-17
11957,14055,4,2017-12-01,2017-12-17
5765,10235,4,2017-12-01,2017-12-20
2561,11957,5,2017-12-01,2017-12-28
6365,11957,5,2017-12-01,2017-12-28
1000,14078,4,2017-12-01,2017-12-28
512,6056,5,2017-12-01,2017-12-29
10784,12163,5,2017-12-01,2017-12-29
9157,11282,5,2017-12-01,2017-12-29
10784,12144,5,2017-12-01,2017-12-29
12163,12862,5,2017-12-01,2017-12-29
12163,14059,5,2017-12-01,2017-12-29
1460,14059,5,2017-12-01,2017-12-29
1460,12144,5,2017-12-01,2017-12-29
11282,12163,5,2017-12-01,2017-12-29
1460,12862,5,2017-12-01,2017-12-29
