Passenger 1 ID,Passenger 2 ID,Number of Flights Together,From,To
2685,11105,6,2017-07-19,2017-11-06
418,3812,5,2017-07-19,2017-11-07
418,6199,5,2017-07-19,2017-11-07
3812,6199,5,2017-07-19,2017-11-07
2333,11897,4,2017-07-19,2017-11-08
8529,11472,5,2017-07-19,2017-11-08
2333,2468,6,2017-07-19,2017-11-08
2468,11897,4,2017-07-19,2017-11-08
3290,7868,4,2017-07-19,2017-11-09
6149,6857,5,2017-07-19,2017-11-10
4420,6036,5,2017-07-19,2017-11-14
6890,11868,5,2017-07-19,2017-11-16
9942,11858,7,2017-07-19,2017-11-16
8951,9867,5,2017-07-19,2017-11-19
4516,8951,5,2017-07-19,2017-11-19
4516,9867,6,2017-07-19,2017-11-21
7877,9867,4,2017-07-19,2017-11-21
2291,3648,4,2017-07-19,2017-11-22
2291,4649,4,2017-07-19,2017-11-22
3648,4649,4,2017-07-19,2017-11-22
4516,7877,5,2017-07-19,2017-11-24
6733,7393,4,2017-07-19,2017-11-27
4161,8121,4,2017-07-19,2017-12-01
1728,3716,4,2017-07-19,2017-12-02
2768,3018,4,2017-07-19,2017-12-06
6418,11098,6,2017-07-19,2017-12-06
2859,3894,6,2017-07-19,2017-12-08
4687,5447,5,2017-07-19,2017-12-09
2768,5596,4,2017-07-19,2017-12-09
5596,11098,7,2017-07-19,2017-12-09
5447,11036,4,2017-07-19,2017-12-09
2581,2631,4,2017-07-19,2017-12-09
2768,11098,4,2017-07-19,2017-12-09
3407,3648,4,2017-07-19,2017-12-15
3451,10784,5,2017-07-19,2017-12-16
5136,5959,4,2017-07-19,2017-12-16
5136,6900,4,2017-07-19,2017-12-16
1560,11808,4,2017-07-19,2017-12-18
8801,9351,4,2017-07-19,2017-12-22
5959,6900,5,2017-07-19,2017-12-29
1594,6127,4,2017-07-19,2017-12-31
9735,11332,4,2017-07-20,2017-08-31
5511,11011,4,2017-07-20,2017-08-31
9735,11011,4,2017-07-20,2017-08-31
