Passenger 1 ID,Passenger 2 ID,Number of Flights Together,From,To
8988,10384,5,2017-10-21,2017-12-05
1008,10384,5,2017-10-21,2017-12-05
1008,8988,5,2017-10-21,2017-12-05
4822,8988,5,2017-10-21,2017-12-05
1008,11123,5,2017-10-21,2017-12-05
4822,10384,5,2017-10-21,2017-12-05
10384,11123,5,2017-10-21,2017-12-05
8988,11123,6,2017-10-21,2017-12-12
1715,11123,4,2017-10-21,2017-12-12
1715,8988,4,2017-10-21,2017-12-12
2575,10739,4,2017-10-21,2017-12-12
6848,8358,4,2017-10-21,2017-12-13
8358,13833,4,2017-10-21,2017-12-13
2766,4161,4,2017-10-21,2017-12-15
1008,4822,6,2017-10-21,2017-12-15
686,11701,4,2017-10-21,2017-12-15
2490,11063,4,2017-10-21,2017-12-16
2490,5438,4,2017-10-21,2017-12-16
5438,11063,4,2017-10-21,2017-12-16
11063,11794,4,2017-10-21,2017-12-16
5438,11794,4,2017-10-21,2017-12-16
9364,13872,5,2017-10-21,2017-12-20
6036,7836,5,2017-10-21,2017-12-25
3435,3974,5,2017-10-21,2017-12-25
3435,7836,5,2017-10-21,2017-12-25
3974,6036,5,2017-10-21,2017-12-25
7680,13280,4,2017-10-22,2017-11-01
7680,13203,4,2017-10-22,2017-11-01
3597,9703,4,2017-10-22,2017-11-06
7327,10760,4,2017-10-22,2017-11-06
7825,9703,4,2017-10-22,2017-11-06
3773,5046,4,2017-10-22,2017-11-06
10760,12540,4,2017-10-22,2017-11-06
2274,3773,4,2017-10-22,2017-11-06
7508,10329,4,2017-10-22,2017-11-06
4016,13683,4,2017-10-22,2017-11-06
3257,12540,4,2017-10-22,2017-11-06
6915,12539,4,2017-10-22,2017-11-06
3041,11379,4,2017-10-22,2017-11-06
8732,12539,4,2017-10-22,2017-11-06
8732,10798,4,2017-10-22,2017-11-06
6138,7508,4,2017-10-22,2017-11-06
6138,6915,4,2017-10-22,2017-11-06
3257,12539,4,2017-10-22,2017-11-06
2274,10632,4,2017-10-22,2017-11-06
5046,9366,4,2017-10-22,2017-11-06
7853,8732,4,2017-10-22,2017-11-06
3257,12582,4,2017-10-22,2017-11-06
3663,12540,4,2017-10-22,2017-11-06
6138,10496,4,2017-10-22,2017-11-06
7209,10329,4,2017-10-22,2017-11-06
8732,9703,4,2017-10-22,2017-11-06
10115,13683,4,2017-10-22,2017-11-06
7327,9703,4,2017-10-22,2017-11-06
10496,11379,4,2017-10-22,2017-11-06
5046,10115,4,2017-10-22,2017-11-06
7853,10760,4,2017-10-22,2017-11-06
9366,13683,4,2017-10-22,2017-11-06
7853,12582,4,2017-10-22,2017-11-06
9703,10760,4,2017-10-22,2017-11-06
1772,10760,4,2017-10-22,2017-11-06
7508,7825,4,2017-10-22,2017-11-06
10760,12539,4,2017-10-22,2017-11-06
3663,7508,4,2017-10-22,2017-11-06
7327,10798,4,2017-10-22,2017-11-06
3597,7508,4,2017-10-22,2017-11-06
9713,13683,4,2017-10-22,2017-11-06
7327,10329,4,2017-10-22,2017-11-06
7508,10798,4,2017-10-22,2017-11-06
3773,13683,4,2017-10-22,2017-11-06
7209,9703,4,2017-10-22,2017-11-06
8732,10496,4,2017-10-22,2017-11-06
5046,6626,4,2017-10-22,2017-11-06
8732,11379,4,2017-10-22,2017-11-06
9777,12539,4,2017-10-22,2017-11-06
2274,9366,4,2017-10-22,2017-11-06
3597,12540,4,2017-10-22,2017-11-06
1772,10798,4,2017-10-22,2017-11-06
2125,13683,4,2017-10-22,2017-11-06
1772,12540,4,2017-10-22,2017-11-06
3257,6138,4,2017-10-22,2017-11-06
6915,12540,4,2017-10-22,2017-11-06
7508,7853,4,2017-10-22,2017-11-06
3597,9777,4,2017-10-22,2017-11-06
6915,7825,4,2017-10-22,2017-11-06
11379,12582,4,2017-10-22,2017-11-06
5046,9713,4,2017-10-22,2017-11-06
6138,12540,4,2017-10-22,2017-11-06
10798,12540,4,2017-10-22,2017-11-06
5046,5275,4,2017-10-22,2017-11-06
10496,10760,4,2017-10-22,2017-11-06
3041,7508,4,2017-10-22,2017-11-06
7508,12540,4,2017-10-22,2017-11-06
9703,11379,4,2017-10-22,2017-11-06
3597,8732,4,2017-10-22,2017-11-06
5275,10115,4,2017-10-22,2017-11-06
7209,12540,4,2017-10-22,2017-11-06
7825,9777,4,2017-10-22,2017-11-06
4016,10115,4,2017-10-22,2017-11-06
6915,11379,4,2017-10-22,2017-11-06
926,5046,4,2017-10-22,2017-11-06
11379,12540,4,2017-10-22,2017-11-06
10632,13683,4,2017-10-22,2017-11-06
3041,7825,4,2017-10-22,2017-11-06
3597,7327,4,2017-10-22,2017-11-06
6626,13683,4,2017-10-22,2017-11-06
3663,10798,4,2017-10-22,2017-11-06
6626,10632,4,2017-10-22,2017-11-06
7825,12539,4,2017-10-22,2017-11-06
6915,10496,4,2017-10-22,2017-11-06
10496,12582,4,2017-10-22,2017-11-06
2125,5046,4,2017-10-22,2017-11-06
3041,3257,4,2017-10-22,2017-11-06
3257,11379,4,2017-10-22,2017-11-06
3597,6915,4,2017-10-22,2017-11-06
6915,10798,4,2017-10-22,2017-11-06
6915,7209,4,2017-10-22,2017-11-06
7209,7825,4,2017-10-22,2017-11-06
10760,12582,4,2017-10-22,2017-11-06
5046,13623,4,2017-10-22,2017-11-06
7853,12539,4,2017-10-22,2017-11-06
7508,11379,4,2017-10-22,2017-11-06
5275,13623,4,2017-10-22,2017-11-06
10329,10496,4,2017-10-22,2017-11-06
10329,11379,4,2017-10-22,2017-11-06
7825,10798,4,2017-10-22,2017-11-06
3257,7825,4,2017-10-22,2017-11-06
10632,13623,4,2017-10-22,2017-11-06
446,13683,4,2017-10-22,2017-11-06
3773,5275,4,2017-10-22,2017-11-06
3041,10496,4,2017-10-22,2017-11-06
3257,9777,4,2017-10-22,2017-11-06
7327,11379,4,2017-10-22,2017-11-06
6626,10115,4,2017-10-22,2017-11-06
10760,11379,4,2017-10-22,2017-11-06
446,10115,4,2017-10-22,2017-11-06
3663,6915,4,2017-10-22,2017-11-06
9703,12539,4,2017-10-22,2017-11-06
3663,10760,4,2017-10-22,2017-11-06
7853,10329,4,2017-10-22,2017-11-06
7327,7825,4,2017-10-22,2017-11-06
10115,10632,4,2017-10-22,2017-11-06
